input,output,output_label,expected_sign,confidence,perturb_delta,n_test,violation_rate,mean_viol_magnitude,max_viol_magnitude,viol_mag_over_output_std,is_primary_output,model_id,model_label
SS316_k_ref,iteration1_max_monolith_temp,Max. monolith temp. (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-baseline,Bayesian surrogate (unregularized)
alpha_base,iteration2_keff,$k_{\mathrm{eff}}$,-,medium,1e-06,435,0.0,0.0,0.0,0.0,True,bnn-baseline,Bayesian surrogate (unregularized)
alpha_slope,iteration2_keff,$k_{\mathrm{eff}}$,-,medium,5e-10,435,0.0,0.0,0.0,0.0,True,bnn-baseline,Bayesian surrogate (unregularized)
E_intercept,iteration2_max_global_stress,Max. global stress,+,high,20000000000.0,435,0.0,0.0,0.0,0.0,True,bnn-data-mono,Data-monotone BNN
alpha_base,iteration2_max_global_stress,Max. global stress,+,high,1e-06,435,0.0,0.0,0.0,0.0,True,bnn-data-mono,Data-monotone BNN
alpha_slope,iteration2_max_global_stress,Max. global stress,+,medium,5e-10,435,0.0,0.0,0.0,0.0,True,bnn-data-mono,Data-monotone BNN
SS316_k_ref,iteration2_max_global_stress,Max. global stress,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-data-mono,Data-monotone BNN
E_slope,iteration2_max_global_stress,Max. global stress,+,medium,7000000.0,435,0.0,0.0,0.0,0.0,True,bnn-data-mono,Data-monotone BNN
E_intercept,iteration1_max_global_stress,Max. global stress (uncoupled),+,high,20000000000.0,435,0.0,0.0,0.0,0.0,False,bnn-data-mono,Data-monotone BNN
alpha_base,iteration1_max_global_stress,Max. global stress (uncoupled),+,high,1e-06,435,0.0,0.0,0.0,0.0,False,bnn-data-mono,Data-monotone BNN
SS316_k_ref,iteration1_max_global_stress,Max. global stress (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-data-mono,Data-monotone BNN
SS316_k_ref,iteration2_max_fuel_temp,Max. fuel temp.,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-data-mono,Data-monotone BNN
SS316_alpha,iteration2_max_fuel_temp,Max. fuel temp.,-,medium,0.0013333333333333333,435,0.39080459770114945,1.1481717824935913,6.8870849609375,0.202833354473114,True,bnn-data-mono,Data-monotone BNN
SS316_k_ref,iteration1_max_fuel_temp,Max. fuel temp. (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-data-mono,Data-monotone BNN
SS316_k_ref,iteration2_max_monolith_temp,Max. monolith temp.,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-data-mono,Data-monotone BNN
SS316_k_ref,iteration1_max_monolith_temp,Max. monolith temp. (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-data-mono,Data-monotone BNN
alpha_base,iteration2_keff,$k_{\mathrm{eff}}$,-,medium,1e-06,435,0.0,0.0,0.0,0.0,True,bnn-data-mono,Data-monotone BNN
alpha_slope,iteration2_keff,$k_{\mathrm{eff}}$,-,medium,5e-10,435,0.0,0.0,0.0,0.0,True,bnn-data-mono,Data-monotone BNN
E_intercept,iteration2_max_global_stress,Max. global stress,+,high,20000000000.0,435,0.0,0.0,0.0,0.0,True,bnn-phy-mono,Physics-regularized BNN
alpha_base,iteration2_max_global_stress,Max. global stress,+,high,1e-06,435,0.0,0.0,0.0,0.0,True,bnn-phy-mono,Physics-regularized BNN
alpha_slope,iteration2_max_global_stress,Max. global stress,+,medium,5e-10,435,0.0,0.0,0.0,0.0,True,bnn-phy-mono,Physics-regularized BNN
SS316_k_ref,iteration2_max_global_stress,Max. global stress,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-phy-mono,Physics-regularized BNN
E_slope,iteration2_max_global_stress,Max. global stress,+,medium,7000000.0,435,0.0,0.0,0.0,0.0,True,bnn-phy-mono,Physics-regularized BNN
E_intercept,iteration1_max_global_stress,Max. global stress (uncoupled),+,high,20000000000.0,435,0.0,0.0,0.0,0.0,False,bnn-phy-mono,Physics-regularized BNN
alpha_base,iteration1_max_global_stress,Max. global stress (uncoupled),+,high,1e-06,435,0.0,0.0,0.0,0.0,False,bnn-phy-mono,Physics-regularized BNN
SS316_k_ref,iteration1_max_global_stress,Max. global stress (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-phy-mono,Physics-regularized BNN
SS316_k_ref,iteration2_max_fuel_temp,Max. fuel temp.,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-phy-mono,Physics-regularized BNN
SS316_alpha,iteration2_max_fuel_temp,Max. fuel temp.,-,medium,0.0013333333333333333,435,0.36091954022988504,1.0181597471237183,4.93115234375,0.1838623583316803,True,bnn-phy-mono,Physics-regularized BNN
SS316_k_ref,iteration1_max_fuel_temp,Max. fuel temp. (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-phy-mono,Physics-regularized BNN
SS316_k_ref,iteration2_max_monolith_temp,Max. monolith temp.,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-phy-mono,Physics-regularized BNN
SS316_k_ref,iteration1_max_monolith_temp,Max. monolith temp. (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-phy-mono,Physics-regularized BNN
alpha_base,iteration2_keff,$k_{\mathrm{eff}}$,-,medium,1e-06,435,0.0,0.0,0.0,0.0,True,bnn-phy-mono,Physics-regularized BNN
alpha_slope,iteration2_keff,$k_{\mathrm{eff}}$,-,medium,5e-10,435,0.0,0.0,0.0,0.0,True,bnn-phy-mono,Physics-regularized BNN
E_intercept,iteration2_max_global_stress,Max. global stress,+,high,20000000000.0,435,0.0,0.0,0.0,0.0,True,bnn-data-mono-ineq,Data+inequality BNN
alpha_base,iteration2_max_global_stress,Max. global stress,+,high,1e-06,435,0.0,0.0,0.0,0.0,True,bnn-data-mono-ineq,Data+inequality BNN
alpha_slope,iteration2_max_global_stress,Max. global stress,+,medium,5e-10,435,0.0,0.0,0.0,0.0,True,bnn-data-mono-ineq,Data+inequality BNN
SS316_k_ref,iteration2_max_global_stress,Max. global stress,-,high,2.32,435,0.011494252873563218,1.182043433189392,1.8873672485351562,0.04396279901266098,True,bnn-data-mono-ineq,Data+inequality BNN
E_slope,iteration2_max_global_stress,Max. global stress,+,medium,7000000.0,435,0.0,0.0,0.0,0.0,True,bnn-data-mono-ineq,Data+inequality BNN
E_intercept,iteration1_max_global_stress,Max. global stress (uncoupled),+,high,20000000000.0,435,0.0,0.0,0.0,0.0,False,bnn-data-mono-ineq,Data+inequality BNN
alpha_base,iteration1_max_global_stress,Max. global stress (uncoupled),+,high,1e-06,435,0.0,0.0,0.0,0.0,False,bnn-data-mono-ineq,Data+inequality BNN
SS316_k_ref,iteration1_max_global_stress,Max. global stress (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-data-mono-ineq,Data+inequality BNN
SS316_k_ref,iteration2_max_fuel_temp,Max. fuel temp.,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-data-mono-ineq,Data+inequality BNN
SS316_alpha,iteration2_max_fuel_temp,Max. fuel temp.,-,medium,0.0013333333333333333,435,0.5379310344827586,1.2679882049560547,7.848876953125,0.24105174839496613,True,bnn-data-mono-ineq,Data+inequality BNN
SS316_k_ref,iteration1_max_fuel_temp,Max. fuel temp. (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-data-mono-ineq,Data+inequality BNN
SS316_k_ref,iteration2_max_monolith_temp,Max. monolith temp.,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-data-mono-ineq,Data+inequality BNN
SS316_k_ref,iteration1_max_monolith_temp,Max. monolith temp. (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-data-mono-ineq,Data+inequality BNN
alpha_base,iteration2_keff,$k_{\mathrm{eff}}$,-,medium,1e-06,435,0.0,0.0,0.0,0.0,True,bnn-data-mono-ineq,Data+inequality BNN
alpha_slope,iteration2_keff,$k_{\mathrm{eff}}$,-,medium,5e-10,435,0.0,0.0,0.0,0.0,True,bnn-data-mono-ineq,Data+inequality BNN
